Company Name,Rating,Review Count,Company Type,Headquarters,Company Age,Number of Employees
Parag Milk Foods,3.9,215 Reviews,Public,Pune + 36 more,28 years old,1001-5000 employees
Aparna Constructions and...,4.3,215 Reviews,Private,Hyderabad + 13 more,24 years old,501-1000 employees
RELIANCE SMSL,4.0,215 Reviews,Public,Mumbai + 47 more,13 years old,10000+ employees
Tieto,4.1,214 Reviews,Private,Helsinki + 1 more,52 years old,10000+ employees
Grant Thornton,3.5,214 Reviews,Private,"Chicago,IL,United States + 19 more",96 years old,5001-10000 employees
Ind-Swift Laboratories,3.7,214 Reviews,Public,Chandigarh + 14 more,25 years old,1001-5000 employees
Ricoh,4.1,214 Reviews,Public,Tokyo + 36 more,84 years old,10000+ employees
PropTiger.com,3.9,214 Reviews,Private,Gurgaon + 11 more,9 years old,1001-5000 employees
TDK,4.1,214 Reviews,Private,Tokyo + 14 more,85 years old,10000+ employees
Artech Infosystems,3.5,213 Reviews,Private,Noida + 9 more,40 years old,5001-10000 employees
3M,4.0,213 Reviews,Public,Saint Paul + 30 more,118 years old,10000+ employees
Agilent Technologies,4.3,213 Reviews,Private,Santa Clara + 9 more,21 years old,10000+ employees
Neuland Laboratories,4.2,213 Reviews,Public,Hyderabad + 1 more,36 years old,1001-5000 employees
Ninjacart,3.1,213 Reviews,Private,Bangalore + 17 more,5 years old,1001-5000 employees
Royal Orchid Hotels,4.1,212 Reviews,Public,Bangalore + 27 more,47 years old,5001-10000 employees
MPS,3.6,212 Reviews,Public,New York + 7 more,50 years old,1001-5000 employees
Encore Capital Group,4.2,212 Reviews,Private,San Diego + 1 more,67 years old,5001-10000 employees
Softenger,3.9,212 Reviews,Private,Pune + 15 more,21 years old,501-1000 employees
National Fertilizers,4.5,212 Reviews,Public,Noida + 25 more,46 years old,1001-5000 employees
Labournet Services,4.1,212 Reviews,Private,Bangalore + 31 more,14 years old,1001-5000 employees
Newgen Software Technolo...,3.3,211 Reviews,Public,New India + 13 more,28 years old,1001-5000 employees
Sulekha.com,3.7,211 Reviews,Private,Chennai + 15 more,13 years old,1001-5000 employees
RAMTeCH Software Solutio...,3.7,211 Reviews,Private,New Delhi + 12 more,28 years old,1001-5000 employees
Uber,4.1,211 Reviews,Private,San Francisco + 23 more,11 years old,10000+ employees
ChannelPlay,4.0,211 Reviews,Private,Gurgaon + 39 more,14 years old,1001-5000 employees
IRB Infrastructure,4.2,211 Reviews,Public,Mumbai + 24 more,22 years old,1001-5000 employees
IMRB International,3.3,210 Reviews,Private,Mumbai + 21 more,50 years old,1001-5000 employees
Integreon,3.5,210 Reviews,Private,New York + 4 more,22 years old,1001-5000 employees
Audi,4.0,210 Reviews,Private,Ingolstadt (Germany) + 41 more,111 years old,10000+ employees
Mindarika,4.0,210 Reviews,Joint Venture,Gurgaon + 12 more,28 years old,1001-5000 employees
Asirvad Microfinance,4.3,210 Reviews,Private,Chennai + 41 more,13 years old,5001-10000 employees
Aye Finance,4.3,210 Reviews,Private,Gurgaon + 49 more,6 years old,1001-5000 employees
InterContinental Hotels ...,4.3,209 Reviews,Private,Denham + 23 more,17 years old,10000+ employees
Jaypee Cement,4.1,209 Reviews,Private,Noida + 43 more,41 years old,1001-5000 employees
Kalpataru Group,3.9,209 Reviews,Private,Mumbai + 22 more,51 years old,1001-5000 employees
Genus Power Infrastructu...,3.9,209 Reviews,Public,Jaipur + 19 more,28 years old,1001-5000 employees
Sarovar Hotels & Resorts,4.2,209 Reviews,Private,Mumbai + 45 more,26 years old,1001-5000 employees
Amphenol Interconnect,4.2,209 Reviews,,Pune + 3 more,48 years old,1001-5000 employees
Episource,4.0,209 Reviews,Private,"Gardena,CA,United States + 6 more",14 years old,1001-5000 employees
GirnarSoft,3.8,209 Reviews,Private,Jaipur + 20 more,13 years old,1001-5000 employees
Agility Logistics,4.1,208 Reviews,Private,Sulaibiya + 26 more,41 years old,10000+ employees
Tata International,4.1,208 Reviews,Public,Mumbai + 26 more,58 years old,5001-10000 employees
Deepak Fertilisers and P...,4.0,208 Reviews,Public,Pune + 23 more,41 years old,1001-5000 employees
Kaya Skin Clinic,4.0,208 Reviews,Public,Mumbai + 27 more,17 years old,1001-5000 employees
Kidzee,4.2,208 Reviews,Private,Mumbai + 45 more,17 years old,10000+ employees
IFFCO,4.1,208 Reviews,Private,New Delhi + 32 more,53 years old,10000+ employees
National Informatics Cen...,4.0,207 Reviews,Private,New Delhi + 29 more,44 years old,1001-5000 employees
Affinity Express,3.0,207 Reviews,Private,"Elgin,IL + 4 more",20 years old,1001-5000 employees
J B Chemicals And Pharma...,4.1,207 Reviews,Public,Mumbai + 29 more,44 years old,1001-5000 employees
Pratham Education Founda...,4.3,207 Reviews,Private,Mumbai + 43 more,25 years old,5001-10000 employees
Sharda Motor Industries,3.8,206 Reviews,Public,Delhi + 16 more,34 years old,1001-5000 employees
RITES,4.2,206 Reviews,Private,Gurgaon + 29 more,46 years old,1001-5000 employees
Prism Cement,4.0,206 Reviews,Private,Mumbai + 31 more,23 years old,1001-5000 employees
Mahendra’s Institute,3.6,206 Reviews,Private,Lucknow + 47 more,26 years old,1001-5000 employees
IKS Health,3.0,206 Reviews,Private,Mumbai + 5 more,13 years old,5001-10000 employees
Kalyan Jewellers,4.2,206 Reviews,Private,Thrissur + 45 more,27 years old,10000+ employees
Maxi Multiservices,3.9,206 Reviews,Private,Lucknow + 44 more,5 years old,201-500 employees
Centre for Development o...,3.9,205 Reviews,Private,Pune + 13 more,32 years old,1001-5000 employees
Supertech,4.0,205 Reviews,Private,New Delhi + 13 more,28 years old,1001-5000 employees
Indegene,3.7,205 Reviews,Private,Bengaluru + 10 more,22 years old,1001-5000 employees
Craftsman Automation,3.8,205 Reviews,Private,Coimbatore + 9 more,34 years old,1001-5000 employees
Pernod Ricard,4.1,205 Reviews,Private,Paris + 47 more,45 years old,10000+ employees
TEKsystems,3.5,204 Reviews,Private,Hanover + 6 more,37 years old,10000+ employees
Merino Industries,3.8,204 Reviews,,Kolkata + 25 more,52 years old,1001-5000 employees
Essel Group,3.8,204 Reviews,Private,Mumbai + 31 more,94 years old,10000+ employees
Aditya Birla Capital,4.0,204 Reviews,Public,Mumbai + 47 more,13 years old,10000+ employees
Quality Austria Central ...,3.3,204 Reviews,Private,New Delhi + 19 more,10 years old,201-500 employees
Emerson Network Power,4.2,203 Reviews,Private,Columbus + 31 more,20 years old,10000+ employees
Lakshmi Machine Works,4.1,203 Reviews,Public,Coimbatore + 7 more,58 years old,5001-10000 employees
Stock Holding Corporatio...,3.9,203 Reviews,Public,Mumbai + 47 more,34 years old,1001-5000 employees
Lumina Datamatics,3.2,203 Reviews,Private,Chennai + 7 more,45 years old,1001-5000 employees
Genesys International Co...,3.6,203 Reviews,Public,Mumbai + 8 more,25 years old,1001-5000 employees
Geojit Financial Service...,3.7,203 Reviews,Public,Kochi + 48 more,33 years old,5001-10000 employees
Signify,4.1,203 Reviews,,Eindhoven + 37 more,129 years old,10000+ employees
Ask Automotive,4.1,203 Reviews,Private,Gurugram + 12 more,31 years old,1001-5000 employees
Instakart Services,4.4,203 Reviews,Private,"Bangalore,India + 49 more",5 years old,1001-5000 employees
XpressBees,3.8,203 Reviews,Private,Pune + 48 more,5 years old,10000+ employees
Altran Technologies,3.5,202 Reviews,Private,Neuilly-sur-Seine + 7 more,38 years old,10000+ employees
Consolidated Constructio...,4.3,202 Reviews,Public,Chennai + 19 more,23 years old,1001-5000 employees
Piramal Healthcare,4.2,202 Reviews,Partnership,Mumbai + 45 more,36 years old,1001-5000 employees
Precision Infomatic M,3.8,202 Reviews,Private,Chennai + 33 more,24 years old,501-1000 employees
Fiat India Automobiles,4.3,202 Reviews,Private,Pune + 13 more,23 years old,1001-5000 employees
NecLife,3.9,202 Reviews,Public,Chandigarh + 8 more,25 years old,1001-5000 employees
Lakshmi Vilas Bank,3.7,202 Reviews,Public,Chennai + 43 more,94 years old,1001-5000 employees
Alstom Transportation,4.0,202 Reviews,Private,Saint-Ouen + 19 more,92 years old,10000+ employees
Fiem Industries,3.8,202 Reviews,Public,New Delhi + 15 more,31 years old,5001-10000 employees
Net Connect,3.2,201 Reviews,Private,Bengaluru + 32 more,23 years old,1001-5000 employees
Nelito System,3.6,201 Reviews,Private,Navi Mumbai + 24 more,25 years old,1001-5000 employees
HLL Lifecare,3.8,201 Reviews,Private,Thiruvananthapuram + 45 more,54 years old,501-1000 employees
NRB Bearings,4.2,201 Reviews,Public,"Mumbai,India + 12 more",55 years old,1001-5000 employees
PeopleStrong,3.8,201 Reviews,Private,Gurgaon + 13 more,14 years old,1001-5000 employees
Inbisco,3.8,201 Reviews,Private,Bangalore + 35 more,12 years old,1001-5000 employees
Target,4.3,200 Reviews,Private,Minneapolis + 4 more,118 years old,10000+ employees
IHS Markit,3.8,200 Reviews,Private,London + 7 more,61 years old,10000+ employees
General Mills,4.2,200 Reviews,Private,Minneapolis + 22 more,154 years old,10000+ employees
SPML Infra,3.5,200 Reviews,Public,New Delhi + 27 more,91 years old,1001-5000 employees
Tecnimont,3.8,200 Reviews,Private,Mumbai + 10 more,62 years old,1001-5000 employees
Standard Chartered Globa...,3.8,200 Reviews,Private,Chennai + 8 more,19 years old,10000+ employees
ICICI Prudential Asset M...,4.1,200 Reviews,,New Delhi + 47 more,27 years old,1001-5000 employees
Srei Equipment Finance,4.2,200 Reviews,Public,Kolkata + 47 more,31 years old,5001-10000 employees
Livpure,4.1,200 Reviews,Private,Gurugram + 46 more,10 years old,1001-5000 employees
MINI MUTHOOTTU NIDHI K,3.6,200 Reviews,,Kochi + 42 more,99 years old,1001-5000 employees
GTL,4.3,199 Reviews,Public,Navi Mumbai + 30 more,33 years old,1001-5000 employees
Hpl Electric & Power,3.7,199 Reviews,,Noida + 36 more,28 years old,1001-5000 employees
BharatMatrimony.com,3.7,199 Reviews,Private,Chennai + 19 more,23 years old,1001-5000 employees
Hofincons Group,3.9,199 Reviews,,Sharjah + 30 more,40 years old,5001-10000 employees
Jabil Circuit India,4.2,199 Reviews,,St Petersburg + 9 more,54 years old,10000+ employees
STUP Consultants,3.8,199 Reviews,Private,Mumbai + 24 more,57 years old,1001-5000 employees
Medplus(optival Health S...,4.0,199 Reviews,Private,Hyderabad + 26 more,14 years old,5001-10000 employees
Efs Facilities Services,4.1,199 Reviews,Private,Dubai + 22 more,14 years old,1001-5000 employees
Vidal Health Tpa,3.9,199 Reviews,Private,Bangalore + 27 more,18 years old,1001-5000 employees
H&M,4.3,199 Reviews,Private,"Stockholm,Sweden + 21 more",73 years old,10000+ employees
Lionbridge Technologies,3.7,198 Reviews,Private,Waltham + 6 more,24 years old,5001-10000 employees
Pratibha Industries,3.8,198 Reviews,Public,Mumbai + 18 more,38 years old,1001-5000 employees
Dr. Batras' Positive Hea...,3.5,198 Reviews,Private,Mumbai + 48 more,38 years old,501-1000 employees
Shivam Autotech,4.0,198 Reviews,Public,New Delhi + 12 more,21 years old,1001-5000 employees
Intel,4.3,197 Reviews,Private,"Santa Clara,CA (US) + 7 more",52 years old,10000+ employees
First Advantage,3.6,197 Reviews,Private,Atlanta + 5 more,17 years old,1001-5000 employees
Sterling Holiday Resort,3.9,197 Reviews,Public,Chennai + 31 more,34 years old,1001-5000 employees
Federal mogul Goetze,4.1,197 Reviews,Public,Gurugram + 16 more,66 years old,5001-10000 employees
Michelin,4.0,197 Reviews,Private,Clermont-Ferrand + 26 more,131 years old,10000+ employees
Knorr-Bremse,3.9,197 Reviews,Private,Bayern + 12 more,115 years old,10000+ employees
"Ministry Of Health, New ...",4.2,197 Reviews,Other,New Delhi + 27 more,44 years old,10000+ employees
Central Bank of India,4.3,197 Reviews,Public,Mumbai + 45 more,109 years old,10000+ employees
Transsion Holdings,4.1,197 Reviews,Public,Shenzhen + 33 more,14 years old,1001-5000 employees
Nityo Infotech,3.2,196 Reviews,Private,Plainsboro New Jersey + 15 more,14 years old,10000+ employees
Rallis India,4.1,196 Reviews,Public,Mumbai + 35 more,72 years old,501-1000 employees
Vijay Sales,4.3,196 Reviews,Private,"Mumbai,India + 20 more",53 years old,1001-5000 employees
Gujarat Heavy Chemicals,4.2,196 Reviews,Public,Ahmedabad + 15 more,37 years old,1001-5000 employees
Apollo Pharmacy,3.9,196 Reviews,Private,Chennai + 44 more,37 years old,10000+ employees
Pie Infocomm,4.6,196 Reviews,Private,Lucknow,18 years old,51-200 employees
VirtusaPolaris,2.9,195 Reviews,Private,"Westborough,MA,United States + 8 more",24 years old,10000+ employees
FIITJEE,3.5,195 Reviews,Private,New Delhi + 35 more,28 years old,1001-5000 employees
Orient Cement,4.1,195 Reviews,Public,New Delhi + 29 more,41 years old,1001-5000 employees
Arvato,3.7,195 Reviews,Private,Gutersloh + 9 more,185 years old,10000+ employees
Ag Industries,4.2,195 Reviews,Private,New Delhi + 7 more,27 years old,201-500 employees
QHTalbros,3.9,195 Reviews,Public,Gurugram + 11 more,34 years old,501-1000 employees
RuralShores,4.1,195 Reviews,Private,Bengaluru + 24 more,12 years old,1001-5000 employees
BlackBuck,4.0,195 Reviews,Private,Bangalore + 46 more,5 years old,1001-5000 employees
Credit Suisse,3.8,194 Reviews,Private,"Zürich,Switzerland + 2 more",120 years old,10000+ employees
QualityKiosk Technologie...,3.3,194 Reviews,Private,Navi Mumbai + 3 more,20 years old,1001-5000 employees
Onward eServices,3.7,194 Reviews,Public,Mumbai + 32 more,29 years old,501-1000 employees
Bharat Gears,4.1,194 Reviews,Public,Haryana + 8 more,49 years old,501-1000 employees
Lite Bite Foods,4.4,194 Reviews,Private,Gurgaon + 13 more,18 years old,1001-5000 employees
Rao IIT Academy,3.0,194 Reviews,Private,Mumbai + 16 more,28 years old,501-1000 employees
Symantec,4.3,193 Reviews,Private,Mountain View + 6 more,38 years old,10000+ employees
Aptech,3.9,193 Reviews,Public,Mumbai + 39 more,34 years old,1001-5000 employees
VRL Logistics,4.0,193 Reviews,Public,Bangalore + 48 more,44 years old,1001-5000 employees
Medley Pharmaceuticals,4.1,193 Reviews,Public,Mumbai + 34 more,51 years old,1001-5000 employees
Riya Travel,3.8,193 Reviews,Private,Mumbai + 23 more,40 years old,1001-5000 employees
PUMA,4.3,193 Reviews,Private,Herzogenaurach + 41 more,72 years old,10000+ employees
Infinx,3.6,193 Reviews,Private,Mumbai + 5 more,8 years old,1001-5000 employees
Ensure Support Services,3.9,193 Reviews,Private,Chennai + 40 more,7 years old,1001-5000 employees
Paras Hospital,4.1,193 Reviews,Private,Gurugram + 11 more,14 years old,1001-5000 employees
Gupta Power Infrastructu...,3.7,193 Reviews,Private,Bhubaneshwar + 22 more,59 years old,501-1000 employees
IIC Technologies,3.8,193 Reviews,Public,Hyderabad + 8 more,26 years old,1001-5000 employees
Gayatri Projects,4.0,193 Reviews,Public,Hyderabad + 35 more,57 years old,501-1000 employees
Yokogawa,3.8,192 Reviews,Private,Tokyo + 14 more,33 years old,10000+ employees
Willis Towers Watson,3.7,192 Reviews,Private,"London,England,United Kingdom + 6 more",192 years old,10000+ employees
Baxter International,4.1,192 Reviews,Private,Deerfield + 17 more,89 years old,10000+ employees
ReGen Powertech,3.8,192 Reviews,Private,Chennai + 18 more,14 years old,1001-5000 employees
Reliance Home Finance,4.4,192 Reviews,Public,Mumbai + 42 more,54 years old,501-1000 employees
Financial Software Syste...,3.8,191 Reviews,Private,Chennai + 12 more,29 years old,1001-5000 employees
Patel Engineering,4.0,191 Reviews,Public,Mumbai + 18 more,71 years old,501-1000 employees
Atos Global IT Solutions...,4.2,191 Reviews,,Paris + 6 more,23 years old,10000+ employees
MALABAR GOLD AND DIAMOND...,4.1,191 Reviews,Private,Kozhikode + 37 more,27 years old,10000+ employees
Mahindra Vehicle Manufac...,4.2,191 Reviews,Private,Mumbai + 4 more,13 years old,1001-5000 employees
Indira IVF Hospital,4.2,191 Reviews,Private,Udaipur + 36 more,32 years old,1001-5000 employees
Prime Focus Technologies,3.2,190 Reviews,Private,Burbank + 6 more,12 years old,1001-5000 employees
MeritNation,3.8,190 Reviews,Private,New Delhi + 19 more,12 years old,501-1000 employees
National Collateral Mana...,4.0,190 Reviews,,Mumbai + 48 more,16 years old,1001-5000 employees
Rashmi Metaliks,3.3,189 Reviews,Private,Kolkata + 6 more,16 years old,5001-10000 employees
Page Industries,4.3,189 Reviews,Public,Bangalore + 32 more,26 years old,10000+ employees
You Broadband,4.0,189 Reviews,Public,Mumbai + 21 more,19 years old,1001-5000 employees
Poly Medicure,3.8,189 Reviews,Public,New Delhi + 19 more,23 years old,1001-5000 employees
Minda Furukawa Electric,4.0,189 Reviews,Private,Rewari + 8 more,13 years old,10000+ employees
Cpf India,4.0,189 Reviews,Private,Bengaluru + 23 more,23 years old,501-1000 employees
VGN Projects Estates Pri...,4.7,189 Reviews,Private,Chennai + 2 more,78 years old,501-1000 employees
Indian Institute of Tech...,4.4,188 Reviews,Private,Gandhinagar + 24 more,12 years old,1001-5000 employees
ETA Engineering,4.0,188 Reviews,Private,Chennai + 16 more,26 years old,10000+ employees
smartData Enterprises,3.5,188 Reviews,Private,New York + 5 more,24 years old,1001-5000 employees
Atkins,4.0,188 Reviews,Private,Epsom + 9 more,82 years old,10000+ employees
M*Modal,3.3,188 Reviews,Private,"Franklin,TN + 9 more",19 years old,10000+ employees
Flex,4.0,188 Reviews,Private,Singapore + 15 more,51 years old,10000+ employees
Khazana Jewellery,4.0,188 Reviews,Private,Chennai + 29 more,31 years old,1001-5000 employees
Balkrishna Industries,4.1,188 Reviews,Public,Mumbai + 7 more,33 years old,5001-10000 employees
Amazon Transportation Se...,4.3,188 Reviews,Private,New Delhi + 42 more,8 years old,10000+ employees
Knight Frank,4.4,187 Reviews,Private,London + 18 more,124 years old,10000+ employees
Kajaria Ceramics,4.4,187 Reviews,Public,New Delhi + 31 more,32 years old,1001-5000 employees
Eris Lifesciences,3.9,187 Reviews,Public,Ahmedabad + 39 more,13 years old,1001-5000 employees
Medica Superspecialty Ho...,3.6,187 Reviews,Private,Kolkata + 12 more,10 years old,1001-5000 employees
VLCC Personal Care,3.6,187 Reviews,Private,Gurugram + 42 more,31 years old,1001-5000 employees
Arohan Financial Service...,4.0,187 Reviews,Private,Kolkata + 35 more,14 years old,1001-5000 employees
NISSIN BRAKE INDIA,3.9,187 Reviews,Private,Nagano + 8 more,67 years old,10000+ employees
India Shelter Finance Co...,4.0,187 Reviews,Private,Gurgaon + 49 more,22 years old,1001-5000 employees
Canon,4.4,186 Reviews,Private,Ohta-ku + 32 more,83 years old,10000+ employees
VeeTechnologies,3.2,186 Reviews,Private,Bangalore + 5 more,20 years old,1001-5000 employees
Forbes Marshall,4.3,186 Reviews,Private,Pune + 15 more,94 years old,1001-5000 employees
Medreich,3.6,186 Reviews,Private,Bangalore + 4 more,47 years old,1001-5000 employees
Tata Power Delhi Distrib...,4.4,186 Reviews,Private,New Delhi + 20 more,12 years old,1001-5000 employees
Shalby Hospitals,3.7,186 Reviews,Public,Ahmedabad + 10 more,26 years old,1001-5000 employees
Morgan Stanley,3.3,185 Reviews,Private,New York + 3 more,85 years old,10000+ employees
Sandoz,4.4,185 Reviews,Private,Bavaria + 13 more,134 years old,10000+ employees
Bridgestone,4.1,185 Reviews,Private,Tokyo + 36 more,89 years old,10000+ employees
Aditya Birla Finance,4.0,185 Reviews,Private,Mumbai + 34 more,13 years old,1001-5000 employees
Diageo,3.9,185 Reviews,Private,London + 37 more,23 years old,10000+ employees
Jayaswal Neco Industries,3.9,185 Reviews,Public,"Nagpur,Maharashtra + 12 more",48 years old,1001-5000 employees
Jubilant Generics,4.1,185 Reviews,Private,Noida + 10 more,7 years old,1001-5000 employees
GD Goenka Public School,3.7,185 Reviews,Private,New Delhi + 30 more,26 years old,501-1000 employees
Portea Medical,3.7,185 Reviews,Private,Bangalore + 12 more,7 years old,1001-5000 employees
Happiest Minds Technolog...,3.9,184 Reviews,Private,Bangalore + 7 more,9 years old,1001-5000 employees
Pyramid IT Consulting,3.5,184 Reviews,Private,Atlanta + 15 more,24 years old,1001-5000 employees
Matrimony.com,3.7,184 Reviews,Public,Chennai + 17 more,23 years old,1001-5000 employees
Rohan Builders,4.2,184 Reviews,Private,Pune + 13 more,27 years old,1001-5000 employees
Updater Services,3.8,184 Reviews,Private,"Chennai,Tamil Nadu + 25 more",35 years old,10000+ employees
AVTEC,3.7,184 Reviews,Private,New Delhi + 9 more,15 years old,1001-5000 employees
Offshore Infrastructures,4.1,184 Reviews,Private,Mumbai + 23 more,25 years old,501-1000 employees
St. Xavier's High School,4.0,184 Reviews,Private,Gurgaon + 45 more,151 years old,1001-5000 employees
Vulcan Express,4.1,184 Reviews,Private,Gurgaon + 34 more,7 years old,10000+ employees
B.L. Kashyap & Sons,4.2,183 Reviews,Private,New Delhi + 18 more,42 years old,10000+ employees
Vatika Group,4.1,183 Reviews,Private,Gurgaon + 9 more,34 years old,1001-5000 employees
JK Paper,4.0,183 Reviews,Public,New Delhi + 10 more,60 years old,1001-5000 employees
Jindal Intellicom,2.7,183 Reviews,Public,New Delhi + 4 more,21 years old,1001-5000 employees
Syndicate Bank,4.1,183 Reviews,Public,Manipal + 46 more,95 years old,10000+ employees
TCNS Clothing Company,4.2,183 Reviews,Public,Noida + 37 more,48 years old,501-1000 employees
Sintex-bapl,3.8,183 Reviews,Public,Pune + 24 more,13 years old,5001-10000 employees
Allied Digital Services,2.5,182 Reviews,Public,Mumbai + 19 more,25 years old,1001-5000 employees
VMware Software,4.3,182 Reviews,Private,Palo Alto + 4 more,22 years old,10000+ employees
Su-Kam Power Systems,4.2,182 Reviews,Private,Gurgaon + 40 more,32 years old,1001-5000 employees
Apar Industries,3.9,182 Reviews,Public,Mumbai + 21 more,62 years old,1001-5000 employees
Jyothy Laboratories,4.1,182 Reviews,Private,Mumbai + 46 more,37 years old,1001-5000 employees
Bikanervala,4.1,182 Reviews,Private,New Delhi + 24 more,70 years old,1001-5000 employees
V-Xpress,4.0,182 Reviews,Private,Navi Mumbai + 41 more,18 years old,1001-5000 employees
N.C.L. Industries,3.9,182 Reviews,Public,Secunderabad + 40 more,41 years old,1001-5000 employees
EMERSON PROCESS MANAGEME...,4.2,181 Reviews,,Missouri + 15 more,130 years old,10000+ employees
Eureka Outsourcing Solut...,3.3,181 Reviews,Private,Thane + 7 more,23 years old,5001-10000 employees
RAK Ceramics,4.1,181 Reviews,Private,Ras Al Khaimah + 27 more,31 years old,10000+ employees
Kohler,4.2,181 Reviews,Private,Wisconsin + 16 more,147 years old,10000+ employees
Centaur Pharmaceuticals,4.0,181 Reviews,Private,Mumbai + 29 more,42 years old,1001-5000 employees
Telesonic Networks,3.8,181 Reviews,Public,Faridabad + 20 more,11 years old,5001-10000 employees
DB Schenker,4.0,181 Reviews,Private,Essen + 22 more,148 years old,10000+ employees
Balaji Enterprises,4.0,181 Reviews,Private,Pune + 46 more,28 years old,1001-5000 employees
Fena,4.1,181 Reviews,Private,New Delhi + 41 more,44 years old,10000+ employees
Mu Sigma,3.0,180 Reviews,Private,Northbrook + 2 more,16 years old,1001-5000 employees
Ramco Systems,3.5,180 Reviews,Public,Chennai + 5 more,23 years old,1001-5000 employees
Reliance Infrastructure,4.0,180 Reviews,Public,Mumbai + 24 more,91 years old,5001-10000 employees
Kerala State Electricity...,4.3,180 Reviews,Private,Thiruvananthapuram + 21 more,9 years old,10000+ employees
Merck,4.2,180 Reviews,Private,New Jersey + 29 more,129 years old,10000+ employees
Ongc Petro Additions,4.2,180 Reviews,Public,Vadodara + 8 more,14 years old,1001-5000 employees
Kuwait National Petroleu...,4.3,180 Reviews,,Ahmadi + 12 more,60 years old,5001-10000 employees
Monte Carlo,4.1,180 Reviews,Public,Punjab + 38 more,36 years old,1001-5000 employees
Kellogg,4.2,180 Reviews,Private,Battle Creek + 34 more,114 years old,10000+ employees
Fleetguard Filters,4.2,180 Reviews,Private,Pune + 31 more,33 years old,501-1000 employees
Munjal Showa,4.1,180 Reviews,Public,Gurgaon + 7 more,35 years old,1001-5000 employees
Bhagwati Products,3.5,180 Reviews,Public,Bhiwadi + 14 more,18 years old,10000+ employees
Hapag-Lloyd,3.8,180 Reviews,Private,Hamburg + 4 more,173 years old,10000+ employees
SHARE Microfin,4.2,180 Reviews,Private,Hyderabad + 47 more,31 years old,1001-5000 employees
Bisk Farm,3.8,180 Reviews,Private,Kolkata + 34 more,20 years old,1001-5000 employees
Patel Infrastructure,4.2,180 Reviews,Private,Vadodara + 28 more,48 years old,1001-5000 employees
MCM Telecom Equipment,3.6,180 Reviews,Private,Noida + 1 more,5 years old,5001-10000 employees
Shaktiman Tirth Agro Tec...,4.3,180 Reviews,Private,Rajkot + 13 more,23 years old,1001-5000 employees
Nomura Holdings,4.0,179 Reviews,Public,Tokyo + 3 more,95 years old,10000+ employees
Times Internet,3.7,179 Reviews,Private,Gurugram + 13 more,21 years old,1001-5000 employees
SABIC,4.4,179 Reviews,Private,Riyadh + 10 more,44 years old,10000+ employees
Sri Chaitanya Techno Sch...,4.0,179 Reviews,Private,Hyderabad + 26 more,34 years old,501-1000 employees
Christian Medical Colleg...,4.5,179 Reviews,Private,Vellore + 13 more,120 years old,1001-5000 employees
Ess Kay Fincorp,4.1,179 Reviews,Public,Jaipur + 42 more,28 years old,1001-5000 employees
Tavant Technologies,3.8,178 Reviews,Private,Santa Clara + 1 more,20 years old,1001-5000 employees
Kotak Mahindra Prime,4.0,178 Reviews,,Mumbai + 38 more,24 years old,10000+ employees
Birla Tyres,3.9,178 Reviews,Private,Kolkata + 45 more,29 years old,1001-5000 employees
Action Construction Equi...,3.9,178 Reviews,Public,Faridabad + 23 more,25 years old,1001-5000 employees
Hitachi,4.3,178 Reviews,Private,Tokyo + 39 more,100 years old,10000+ employees
Sunbeam Auto,3.8,178 Reviews,Private,Gurgaon + 9 more,34 years old,1001-5000 employees
Siyaram Silk Mills,4.1,178 Reviews,Public,Mumbai + 19 more,42 years old,5001-10000 employees
Tata Hitachi Constructio...,4.2,178 Reviews,Private,Bangalore + 37 more,21 years old,1001-5000 employees
GSH Group,4.0,178 Reviews,Private,New Jersey + 24 more,125 years old,1001-5000 employees
Fusion Microfinance,4.0,178 Reviews,Private,New Delhi + 47 more,26 years old,1001-5000 employees
Indecomm Global Services,3.5,177 Reviews,Private,New Jersey + 5 more,17 years old,1001-5000 employees
Advik Hi Tech,3.7,177 Reviews,,Pune + 10 more,20 years old,201-500 employees
Escon Elevators,3.3,177 Reviews,Private,Navi Mumbai + 11 more,30 years old,201-500 employees
Artemis Health Institute,4.4,177 Reviews,Public,Gurgaon + 4 more,13 years old,1001-5000 employees
Rolta India,3.0,176 Reviews,Public,Mumbai + 8 more,38 years old,501-1000 employees
Elecon Engineering,3.8,176 Reviews,Public,Gujrat + 15 more,69 years old,1001-5000 employees
EID Parry (India),4.2,176 Reviews,Public,Chennai + 25 more,232 years old,501-1000 employees
RPG Life Sciences,4.2,176 Reviews,Public,Mumbai + 16 more,52 years old,1001-5000 employees
ABM Knowledgeware,3.6,176 Reviews,Public,Mumbai + 21 more,27 years old,501-1000 employees
MAS FINANCIAL SERVICES,3.5,176 Reviews,Public,Ahmedabad + 44 more,25 years old,1001-5000 employees
Emami Cement,4.1,176 Reviews,Public,Kolkata + 27 more,13 years old,501-1000 employees
Scania,4.1,176 Reviews,Private,Stockholm + 16 more,129 years old,10000+ employees
Uae Exchange & Financial...,4.0,175 Reviews,Private,Abu Dhabi + 46 more,40 years old,5001-10000 employees
Allscripts,4.3,175 Reviews,Private,Chicago + 2 more,34 years old,5001-10000 employees
Ugam Solution,3.7,175 Reviews,Private,Mumbai + 3 more,20 years old,1001-5000 employees
Sistema Shyam Teleservic...,4.7,175 Reviews,Private,Gurugram + 37 more,25 years old,1001-5000 employees
